ColNum,state,year,unemp,income,emppop,drinkage,youngdrivers,miles,fatal,nfatal,fatal1517,nfatal1517,fatal1820,nfatal1820,afatal,pop,pop1517,pop1820,milestot
1,al,1982,14.3999996185303,10544.15234375,50.6920394897461,19,0.211572006344795,7233.88720703125,839,146,53,9,99,34,309.43798828125,3942002.25,208999.59375,221553.4375,28516
2,al,1983,13.6999998092651,10732.7978515625,52.147029876709,19,0.21076799929142,7836.34765625,930,154,71,8,108,26,341.834014892578,3960008,202000.078125,219125.46875,31032
3,al,1984,11.1000003814697,11108.791015625,54.1680870056152,19,0.211484000086784,8262.990234375,932,165,49,7,103,25,304.872009277344,3988991.75,196999.96875,216724.09375,32961
4,al,1985,8.89999961853027,11332.626953125,55.2711372375488,19.6700000762939,0.211140006780624,8726.9169921875,882,146,66,9,100,23,276.742004394531,4021007.75,194999.734375,214349.03125,35091
5,al,1986,9.80000019073486,11661.5068359375,56.5144958496094,21,0.21340000629425,8952.853515625,1081,172,82,10,120,23,360.716003417969,4049993.75,203999.890625,212000,36259
6,al,1987,7.80000019073486,11944,57.509880065918,21,0.21552699804306,9166.3017578125,1110,181,94,11,127,31,368.420989990234,4082999,204999.8125,208998.453125,37426
7,al,1988,7.19999980926514,12368.6240234375,56.834529876709,21,0.21832799911499,9674.3232421875,1023,139,66,8,105,24,298.321990966797,4101992.25,201000.125,193000.515625,39684
8,az,1982,9.89999961853027,12309.0693359375,56.8932952880859,19,0.209012001752853,6810.15673828125,724,131,40,7,81,16,173.667999267578,2896996.5,140999.984375,156378.703125,19729
9,az,1983,9.10000038146973,12693.8076171875,57.5536308288574,19,0.203854992985725,6587.49462890625,675,112,40,7,83,19,196.889999389648,2977004.25,138999.890625,157521.4375,19611
10,az,1984,5,13265.93359375,60.379020690918,19,0.209126994013786,6709.97021484375,869,149,51,8,118,34,212.360992431641,3071995.75,138000.078125,158672.53125,20613
11,az,1985,6.5,13726.6953125,58.6485328674316,21,0.188427999615669,6771.2626953125,893,150,48,11,100,26,225.824005126953,3186998,140000.0625,159832.03125,21580
